,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,Helix,0.568,0.576,0.000,0.0,2921,266308,8292,429230,0.372,0.369,0.000,0.0,5335,266308,23086,429230,0.205,0.180,0.000,0.0,708,266308,5559,429230,0.225,0.201,0.000,0.0,3030,266308,21686,429230
1,Coil,0.859,0.813,0.000,0.0,4218,286793,6995,408745,0.507,0.476,0.000,0.0,7462,286793,20959,408745,0.242,0.230,0.000,0.0,910,286793,5357,408745,0.436,0.414,0.000,0.0,5793,286793,18923,408745
2,Strand,2.216,2.295,0.000,0.0,4074,142437,7139,553101,4.741,5.109,0.000,0.0,15624,142437,12797,553101,11.159,14.009,0.000,0.0,4649,142437,1618,553101,6.995,8.125,0.000,0.0,15893,142437,8823,553101
