,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,P,0.615,0.608,0.000,0.0,4158,340365,7055,355173,0.544,0.535,0.000,0.0,9740,340365,18681,355173,0.45,0.446,0.000,0.0,1888,340365,4379,355173,0.614,0.608,0.000,0.0,9154,340365,15562,355173
1,H,1.626,1.644,0.000,0.0,7055,355173,4158,340365,1.838,1.868,0.000,0.0,18681,355173,9740,340365,2.223,2.243,0.000,0.0,4379,355173,1888,340365,1.629,1.646,0.000,0.0,15562,355173,9154,340365
