,AAtype,gtest_pval,fisher_pval,oddsratio,CR Motif,CR !Motif,!CR Motif,!CR !Motif,bh_gtest_pval,bh_fisher_pval
0,HHH,4.752926107755638e-100,4.726375857560813e-100,2.525534759358289,889,1933,47059,258433,3.802340886204511e-99,3.781100686048651e-99
1,PHH,0.000611838742243141,0.000603823303322234,1.1958843159065629,461,2361,42878,262614,0.0008157849896575214,0.0008050977377629787
2,HHP,0.08156778389434893,0.08189667158180586,1.097114012948535,430,2392,43010,262482,0.0932203244506845,0.09359619609349241
3,HPH,0.816992608398676,0.8052118656139935,1.0127968766945017,394,2428,42190,263302,0.816992608398676,0.8052118656139935
4,PHP,4.2253141744041126e-13,5.842584359369764e-13,0.6122090015519918,206,2616,34817,270675,6.760502679046581e-13,9.348134974991621e-13
5,PPH,4.945479622864332e-19,8.084088748704298e-19,0.5395882413192666,188,2634,35690,269802,9.890959245728664e-19,1.6168177497408595e-18
6,HPP,1.1419208104360332e-22,1.9164663767497342e-22,0.501172153705025,176,2646,35796,269696,3.045122161162755e-22,5.110577004665958e-22
7,PPP,1.507015303009158e-30,3.108125787561696e-30,0.3326153846153846,78,2744,24052,281440,6.028061212036632e-30,1.2432503150246784e-29
