,AAtype,gtest_pval,fisher_pval,oddsratio,CR Motif,CR !Motif,!CR Motif,!CR !Motif,bh_gtest_pval,bh_fisher_pval
0,HHH,3.991657767698788e-78,3.493603810176874e-78,3.2446207843735695,441,1025,20741,156426,3.1933262141590303e-77,2.7948830481414993e-77
1,PHH,2.6683387389851875e-05,2.787127601274677e-05,1.353908423981786,250,1216,23356,153811,3.557784985313583e-05,3.716170135032903e-05
2,HHP,0.015575240288076275,0.014754137651993496,1.1965282083075017,226,1240,23420,153747,0.017800274614944316,0.01686187160227828
3,HPH,0.022810598801030535,0.021559024269530287,1.1887679366650175,213,1253,22164,155003,0.022810598801030535,0.021559024269530287
4,PHP,2.4357645750196774e-07,3.1844671075108357e-07,0.6296552519312809,120,1346,21974,155193,3.897223320031484e-07,5.095147372017338e-07
5,HPP,1.571966328364772e-15,2.740434502341572e-15,0.4727845254161044,98,1368,23313,153854,3.143932656729544e-15,5.480869004683144e-15
6,PPH,2.4256156880941436e-24,5.0791592242796624e-24,0.35645536010620643,75,1391,23280,153887,6.468308501584383e-24,1.35444245980791e-23
7,PPP,5.667946435892853e-29,1.1184605809699507e-28,0.25278024911032027,43,1423,18919,158248,2.267178574357141e-28,4.473842323879803e-28
