,AAtype,gtest_pval,fisher_pval,oddsratio,CR Motif,CR !Motif,!CR Motif,!CR !Motif,bh_gtest_pval,bh_fisher_pval
0,HHH,3.75366767162447e-273,3.2213404392699886e-273,2.888051986412642,1898,4370,97059,645407,3.002934137299576e-272,2.577072351415991e-272
1,HHP,2.0163182518531114e-09,1.969189629502751e-09,1.236710252963461,1005,5263,99310,643156,2.6884243358041487e-09,2.6255861726703346e-09
2,PHH,6.615416471879493e-06,6.472146924653831e-06,1.1752939750272762,962,5306,99222,643244,7.560475967862278e-06,7.396739342461522e-06
3,HPH,0.0003335776989461647,0.0003332008391489549,1.13956574185766,920,5348,97384,645082,0.0003335776989461647,0.0003332008391489549
4,PHP,2.845029317443093e-19,3.8933985595005993e-19,0.6806330411021292,539,5729,90170,652296,4.552046907908949e-19,6.229437695200959e-19
5,HPP,2.1000522996280186e-53,2.9340317635427634e-53,0.4916232109175635,410,5858,92538,649928,4.200104599256037e-53,5.868063527085527e-53
6,PPH,1.6065263050069757e-68,2.8551950794756707e-68,0.4337150407399251,364,5904,92415,650051,4.2840701466852685e-68,7.613853545268455e-68
7,PPP,9.791867063541512e-112,2.221845314094761e-111,0.25046565136408455,170,6098,74368,668098,3.916746825416605e-111,8.887381256379043e-111
