,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,P,0.614,0.609,0.000,0.0,964,84030,1541,82443,0.485,0.481,0.000,0.0,2130,84030,4306,82443,0.4,0.396,0.000,0.0,420,84030,1031,82443,0.56,0.555,0.000,0.0,2072,84030,3629,82443
1,H,1.629,1.643,0.000,0.0,1541,82443,964,84030,2.061,2.077,0.000,0.0,4306,82443,2130,84030,2.502,2.524,0.000,0.0,1031,82443,420,84030,1.785,1.800,0.000,0.0,3629,82443,2072,84030
