,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,Helix,0.648,0.676,0.000,0.0,797,69684,1708,96789,0.395,0.406,0.000,0.0,1424,69684,5012,96789,0.217,0.206,0.000,0.0,196,69684,1255,96789,0.231,0.221,0.000,0.0,814,69684,4887,96789
1,Coil,0.863,0.810,0.000,0.0,920,66922,1585,99551,0.488,0.450,0.000,0.0,1590,66922,4846,99551,0.27,0.253,0.000,0.0,223,66922,1228,99551,0.441,0.413,0.000,0.0,1304,66922,4397,99551
2,Strand,2.099,2.159,0.000,0.0,788,29867,1717,136606,5.193,5.666,0.000,0.0,3422,29867,3014,136606,11.266,13.469,0.000,0.0,1032,29867,419,136606,7.738,8.731,0.000,0.0,3583,29867,2118,136606
