,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,Helix,0.679,0.670,0.000,0.0,1676,120346,3340,162886,0.379,0.369,0.000,0.0,2928,120346,10457,162886,0.215,0.192,0.000,0.0,393,120346,2471,162886,0.243,0.217,0.000,0.0,1709,120346,9509,162886
1,Coil,0.931,0.883,0.000,0.015,1847,109079,3169,174153,0.573,0.536,0.000,0.0,3537,109079,9848,174153,0.299,0.282,0.000,0.0,452,109079,2412,174153,0.531,0.499,0.000,0.0,2799,109079,8419,174153
2,Strand,1.807,1.974,0.000,0.0,1493,53807,3523,229425,4.564,5.118,0.000,0.0,6920,53807,6465,229425,10.188,12.292,0.000,0.0,2019,53807,845,229425,6.347,7.368,0.000,0.0,6710,53807,4508,229425
