,AA_type,OR_marg_1,OR_pool_1,CMH_pval_1,bh_fe_pval_1,AA_c1,AA_c0_x,!AA_c1,!AA_c0_x,OR_marg_2,OR_pool_2,CMH_pval_2,bh_fe_pval_2,AA_c2,AA_c0_y,!AA_c2,!AA_c0_y,OR_marg_3,OR_pool_3,CMH_pval_3,bh_fe_pval_3,AA_c3,AA_c0_x,!AA_c3,!AA_c0_x,OR_marg_4,OR_pool_4,CMH_pval_4,bh_fe_pval_4,AA_c4,AA_c0_y,!AA_c4,!AA_c0_y
0,P,0.647,0.644,0.000,0.0,1786,130461,3230,152771,0.548,0.539,0.000,0.0,4265,130461,9120,152771,0.484,0.478,0.000,0.0,837,130461,2027,152771,0.62,0.614,0.000,0.0,3884,130461,7334,152771
1,H,1.544,1.552,0.000,0.0,3230,152771,1786,130461,1.826,1.854,0.000,0.0,9120,152771,4265,130461,2.068,2.094,0.000,0.0,2027,152771,837,130461,1.613,1.628,0.000,0.0,7334,152771,3884,130461
